measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,1990,3503.3589096554900,6938.302355111340,1185.0110238402300
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,1991,3494.4941012245600,6932.094359445790,1189.878189618360
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,1992,3482.3103748544400,6935.012826080520,1175.4684485058100
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,1993,3476.6709733075100,6902.06641172413,1193.5372964173700
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,1994,3482.8307011568500,6900.093545514950,1210.7320492271000
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,1995,3490.9503619097200,6871.886076661260,1201.5709533558200
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,1996,3596.6714764573200,7131.727060525280,1245.5597749930800
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,1997,3829.749107589470,7610.32504342074,1328.025615456080
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,1998,4101.493657557090,8213.212941898130,1400.7372710573600
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,1999,4334.955081265710,8627.726311729260,1464.1256551267300
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2000,4437.235328695280,8835.429607918500,1508.9585010100200
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2001,4426.649008796360,8769.172699747580,1515.7070124084200
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2002,4376.792297515570,8699.9486331079,1508.5928653660100
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2003,4298.988802257100,8325.278420073320,1487.882693890760
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2004,4234.558981101910,8117.634050705460,1503.9254800980200
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2005,4180.768104260590,7971.485578580630,1473.7743270718300
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2006,4165.350260081770,7960.395521367980,1463.6581455891100
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2007,4169.23137000778,7969.229091114060,1489.9449998435800
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2008,4185.741154974250,7915.516996789360,1494.403472260880
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2009,4195.83233636629,7930.739865103210,1516.545089103160
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2010,4180.72931133044,7860.1719043036900,1535.8675415247400
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2011,4123.626046822390,7681.771972933130,1483.9323399912800
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2012,4026.672234907580,7460.946593329540,1475.0410219185100
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2013,3917.1457290632100,7318.785926808190,1420.1635422082800
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2014,3835.9910967821700,7183.470235098340,1370.8670598241200
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2015,3801.921772230370,7073.073154531910,1373.7909249961900
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2016,3856.4619971397500,7263.404953402740,1364.3203902779800
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2017,3967.606909808910,7408.070373051110,1421.5035756430500
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2018,4085.724975200500,7722.884842283910,1464.218343214680
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2019,4133.73296966057,7866.1591671305100,1481.3381440403200
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2020,4115.048321582010,7795.602017376130,1456.8277860522500
YLDs (Years Lived with Disability),Alabama,Both,All ages,Anxiety disorders,Number,2021,4097.968332302060,7911.626582567130,1426.5635522058100
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,1990,230.55219478880700,538.7105540103370,62.0543503379045
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,1991,232.62386314008300,539.4036328973200,64.22549023849290
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,1992,234.9794543027270,544.7568101987040,64.05409432155690
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,1993,237.69356708442400,552.7487711720230,66.64965239568470
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,1994,241.0087173180340,546.8748240621470,68.07371877239580
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,1995,245.13648398707500,552.3733739646980,69.83006540866660
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,1996,256.4661784327430,589.2506846089280,75.12872038541120
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,1997,275.9169695351000,635.5971444876160,80.2264719605837
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,1998,299.1055976888220,679.4272844906840,88.65259631119770
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,1999,320.52826194008300,736.2516927176320,96.37978458124600
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2000,333.83174178101300,763.0148481268540,102.88939931096800
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2001,339.3788925192690,756.1066381203330,103.96749789482300
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2002,342.5467882945800,755.9280228514890,109.18152649179700
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2003,343.96611103386000,760.1043991307060,112.19876187503800
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2004,345.4627040831580,761.8829700078340,111.39942702329500
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2005,348.890127304186,757.9139033870600,114.31290498489200
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2006,355.2665350943900,761.7189550956720,116.18322091580100
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2007,363.43849753691500,778.5104350682520,119.90844123521000
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2008,370.83335861958900,788.18588560101,121.53229327078500
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2009,377.204111017618,810.8496912843570,124.83078976411900
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2010,380.5749352659280,810.309814911943,126.6681340953760
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2011,378.4907756746350,817.6436023711830,125.193662586403
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2012,371.3044846128810,797.233013169239,118.24866638010800
